stimulus,response,rt
fixation,99,1
杀死4士兵,99,1
fixation,99,1.3
23,99,1
fixation,99,1.3
23,1,2.2974516999675
fixation,99,1.3
杀死6士兵,99,1
fixation,99,1.1
34,99,1
fixation,99,1.2
34,1,1.45083500002511
fixation,99,1.4
杀死7士兵,99,1
fixation,99,1.1
45,99,1
fixation,99,0.8
45,0,1.256766699953
fixation,99,1.4
杀死4士兵,99,1
fixation,99,1.2
13,99,1
fixation,99,1
13,1,2.04597499989904
fixation,99,1.4
杀死2士兵,99,1
fixation,99,0.9
20,99,1
fixation,99,1.2
20,0,0.861440500011668
fixation,99,1.2
杀死10士兵,99,1
fixation,99,1
47,99,1
fixation,99,0.8
47,1,2.47432699997444
fixation,99,0.8
杀死3士兵,99,1
fixation,99,1
22,99,1
fixation,99,0.9
22,0,0.5189115999965
fixation,99,1.3
杀死4士兵,99,1
fixation,99,1
1,99,1
fixation,99,1.3
1,0,0.861775899888016
fixation,99,1.3
杀死8士兵,99,1
fixation,99,1.1
41,99,1
fixation,99,0.9
41,1,0.682954099960625
fixation,99,1.4
杀死9士兵,99,1
fixation,99,0.9
35,99,1
fixation,99,1.4
35,1,0.891792000038549
fixation,99,0.9
杀死4士兵,99,1
fixation,99,1
8,99,1
fixation,99,0.8
8,1,1.07783500000369
fixation,99,1.2
杀死4士兵,99,1
fixation,99,0.9
11,99,1
fixation,99,0.8
11,1,1.59497720003128
fixation,99,1.3
杀死5士兵,99,1
fixation,99,1
2,99,1
fixation,99,1.2
2,1,1.98726830002852
fixation,99,1
杀死2士兵,99,1
fixation,99,1.2
24,99,1
fixation,99,0.8
24,0,0.351680700085126
fixation,99,1.4
杀死1士兵,99,1
fixation,99,1.3
7,99,1
fixation,99,1.3
7,0,0.417931000003591
fixation,99,1.3
杀死7士兵,99,1
fixation,99,1
38,99,1
fixation,99,1.2
38,1,0.345715299947187
fixation,99,1.2
杀死8士兵,99,1
fixation,99,1.1
48,99,1
fixation,99,0.9
48,1,0.588573900051415
fixation,99,0.9
杀死1士兵,99,1
fixation,99,1.1
6,99,1
fixation,99,0.9
6,0,0.460471900063567
fixation,99,1.3
杀死2士兵,99,1
fixation,99,1.4
19,99,1
fixation,99,0.8
19,1,0.675305100041442
fixation,99,1.1
杀死6士兵,99,1
fixation,99,0.8
43,99,1
fixation,99,1.3
43,1,0.287822500104085
fixation,99,1.4
杀死9士兵,99,1
fixation,99,0.8
27,99,1
fixation,99,1.4
27,1,0.271151600056328
fixation,99,0.8
杀死6士兵,99,1
fixation,99,1.2
40,99,1
fixation,99,1.3
40,1,1.3306331000058
fixation,99,1.1
杀死9士兵,99,1
fixation,99,1.4
46,99,1
fixation,99,1.4
46,1,0.904997600009665
fixation,99,1.2
杀死1士兵,99,1
fixation,99,0.8
18,99,1
fixation,99,0.9
18,0,0.282319999998435
fixation,99,0.9
杀死3士兵,99,1
fixation,99,0.8
12,99,1
fixation,99,0.8
12,1,1.63317269994877
fixation,99,1.2
杀死8士兵,99,1
fixation,99,1.4
39,99,1
fixation,99,1
39,1,1.21674439997878
fixation,99,1
杀死7士兵,99,1
fixation,99,1.4
31,99,1
fixation,99,1.4
31,1,0.39549910009373
fixation,99,1.2
杀死6士兵,99,1
fixation,99,1.4
36,99,1
fixation,99,1.3
36,1,1.45064659998752
fixation,99,1
杀死7士兵,99,1
fixation,99,1.2
37,99,1
fixation,99,0.9
37,1,1.03452360001393
fixation,99,1
杀死8士兵,99,1
fixation,99,1.2
30,99,1
fixation,99,1.1
30,1,0.825453400029801
fixation,99,1
杀死2士兵,99,1
fixation,99,1.2
14,99,1
fixation,99,1.3
14,0,0.617733199964277
fixation,99,1.2
杀死6士兵,99,1
fixation,99,1.1
26,99,1
fixation,99,1.2
26,1,0.568148500053212
fixation,99,1.1
杀死7士兵,99,1
fixation,99,0.8
29,99,1
fixation,99,1.3
29,1,0.366526100086048
fixation,99,1.4
杀死4士兵,99,1
fixation,99,1
10,99,1
fixation,99,1.4
10,1,1.63361689995509
fixation,99,1
杀死2士兵,99,1
fixation,99,1.4
9,99,1
fixation,99,1.1
9,0,0.475270800059661
fixation,99,1
杀死4士兵,99,1
fixation,99,0.9
15,99,1
fixation,99,0.8
15,1,1.73282290005591
fixation,99,1
杀死5士兵,99,1
fixation,99,1.3
17,99,1
fixation,99,1.3
17,1,1.10263949993532
fixation,99,1.2
杀死4士兵,99,1
fixation,99,0.8
21,99,1
fixation,99,1.3
21,1,1.31715410004836
fixation,99,1.4
杀死8士兵,99,1
fixation,99,1.3
33,99,1
fixation,99,0.8
33,1,2.59416290000081
fixation,99,1
杀死9士兵,99,1
fixation,99,1.2
44,99,1
fixation,99,1.3
44,1,1.44251369999256
fixation,99,0.9
杀死7士兵,99,1
fixation,99,0.9
28,99,1
fixation,99,1.2
28,1,1.80650359997526
fixation,99,1.1
杀死5士兵,99,1
fixation,99,1.2
16,99,1
fixation,99,0.9
16,1,0.285620599985123
fixation,99,0.9
杀死4士兵,99,1
fixation,99,1.3
3,99,1
fixation,99,1.3
3,1,0.65188339992892
fixation,99,1.4
杀死7士兵,99,1
fixation,99,0.8
25,99,1
fixation,99,0.9
25,1,0.570891299983487
fixation,99,0.8
杀死6士兵,99,1
fixation,99,1.1
42,99,1
fixation,99,0.9
42,1,3.01215660001617
fixation,99,1.4
杀死9士兵,99,1
fixation,99,0.8
32,99,1
fixation,99,0.8
32,0,0.593981700018048
fixation,99,1.1
杀死1士兵,99,1
fixation,99,1.3
4,99,1
fixation,99,1
4,0,0.503897799993865
fixation,99,0.9
杀死4士兵,99,1
fixation,99,1
5,99,1
fixation,99,0.9
5,1,1.07735150004737
